backbone,backbone_key,embedding_dim,protocol,fold,component_id,test_years,train_n,test_n,RMSE,MAE,R2,NRMSE,sMAPE
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,9,C0009,2024,195,12,291.992324885836,241.2802057539698,-0.6438061976466489,0.3391316200764646,43.443355101020906
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,9,C0009,2024,195,12,298.49319797105505,246.38904319444552,-0.7178159043834529,0.34668199532062144,44.02169989361639
DINOv2-Small,dinov2_small,384,Full CMGT,9,C0009,2024,195,12,237.9784639139837,191.52527673187944,-0.09190047615051866,0.2763977513518974,38.40439084271245
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,10,C0010,2024,195,12,301.3314113215337,254.38215305555673,-0.22965161558429803,0.315117815761081,41.55965369248694
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,10,C0010,2024,195,12,297.88386692843955,251.65236806267868,-0.2016755898588678,0.3115125405787603,41.287681769823514
DINOv2-Small,dinov2_small,384,Full CMGT,10,C0010,2024,195,12,279.1729480755243,223.4723709829881,-0.055455528075550875,0.2919455666149274,39.28787301469672
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,11,C0011,2025,195,12,719.5792995003809,690.9228807407409,-0.1314303041415641,0.3410328433651094,73.64197859232549
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,11,C0011,2025,195,12,754.1673129592845,720.289027222222,-0.2428133072693639,0.3574252668053481,77.53231192632042
DINOv2-Small,dinov2_small,384,Full CMGT,11,C0011,2025,195,12,724.8290352493873,680.8838075802412,-0.14799936576540884,0.3435208697864395,74.2303194847707
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,12,C0012,2025,206,1,284.58280000000855,284.58280000000855,,28458280000.000854,20.797645967593148
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,12,C0012,2025,206,1,284.5828000000088,284.5828000000088,,28458280000.000877,20.797645967593166
DINOv2-Small,dinov2_small,384,Full CMGT,12,C0012,2025,206,1,8.67868208302366,8.67868208302366,,867868208.3023659,0.7053606361444293
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,13,C0013,2025,206,1,85.68499999999017,85.68499999999017,,8568499999.999017,6.113359529537831
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,13,C0013,2025,206,1,85.68499999999017,85.68499999999017,,8568499999.999017,6.113359529537831
DINOv2-Small,dinov2_small,384,Full CMGT,13,C0013,2025,206,1,134.3339491684835,134.3339491684835,,13433394916.84835,10.400640644930858
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,14,C0014,2025,206,1,370.45660333331716,370.45660333331716,,37045660333.33172,25.07130958364571
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,14,C0014,2025,206,1,370.52141333331747,370.52141333331747,,37052141333.33175,25.076245654298567
DINOv2-Small,dinov2_small,384,Full CMGT,14,C0014,2025,206,1,487.05036161996463,487.05036161996463,,48705036161.99646,34.31587939720922
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,15,C0015,2025,195,12,561.6337311919982,507.8592717852057,-0.0048584834274634225,0.36305640171174314,69.48302732675815
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,15,C0015,2025,195,12,574.9143485371073,492.8821598438133,-0.05294292901259867,0.371641379568384,66.37115221390196
DINOv2-Small,dinov2_small,384,Full CMGT,15,C0015,2025,195,12,597.5803717927095,477.2916937337289,-0.13760419583605832,0.3862933571603076,63.526710714030834
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,16,C0016,2025,195,12,412.73590093333013,350.42416666666685,-0.007330627561473735,0.3063748188287435,43.363549430137425
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,16,C0016,2025,195,12,447.81852605962393,359.3258018981487,-0.1858551875461505,0.33241673302326663,43.11736497219781
DINOv2-Small,dinov2_small,384,Full CMGT,16,C0016,2025,195,12,403.1210255969817,359.1016054961911,0.03905518919880713,0.29923767451303607,45.02857847031194
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,17,C0017,2025,195,12,370.49030852253276,323.2633333333333,-0.046585678174067446,0.31860267660985225,35.69464966752895
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,17,C0017,2025,195,12,371.88033637921734,335.38206138888864,-0.05445369677131717,0.31979802932357926,37.43391916274081
DINOv2-Small,dinov2_small,384,Full CMGT,17,C0017,2025,195,12,306.5940945509849,259.6095724784556,0.28328143442599407,0.2636552074634822,29.490210331150077
DINOv2-Small,dinov2_small,384,Static Image ExtraTrees,18,C0018,2025,198,9,653.710842363894,589.8912892592595,-0.05072529081477639,0.40540207278381024,76.57425373804767
DINOv2-Small,dinov2_small,384,Image Trajectory ExtraTrees,18,C0018,2025,198,9,641.7632342568114,581.9077871937321,-0.012668908164423787,0.39799270341507686,77.2198947865285
DINOv2-Small,dinov2_small,384,Full CMGT,18,C0018,2025,198,9,532.6682444860228,475.7344174169036,0.3023599206586931,0.33033689580528547,70.32101294210929
DINOv3 ViT-S/16,dinov3_vits16,384,Static Image ExtraTrees,1,C0001,2023,168,39,240.76762311268502,207.37384646011515,-1.9464937802666085,0.34853448626619143,20.78149868908957
DINOv3 ViT-S/16,dinov3_vits16,384,Image Trajectory ExtraTrees,1,C0001,2023,168,39,278.61921977044534,244.9072721652394,-2.9457675910592456,0.40332834361674197,25.66953739057947
